"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"14951","04-05-25 20:45","Italy","Serie A","2024/2025","Bologna","Juventus","2.38","3.10","3.47","1.13","6.50","1.48","2.75","2.57","1.54","4.80","1.20","9.99","1.06","1.96","1.85"
"14952","04-05-25 18:00","Italy","Serie A","2024/2025","AS Roma","Fiorentina","1.80","3.59","5.13","1.08","9.00","1.34","3.40","2.13","1.80","3.67","1.30","7.06","1.11","1.83","1.98"
"14953","04-05-25 15:00","Italy","Serie A","2024/2025","Monza","Atalanta","12.90","6.69","1.25","1.01","23.00","1.16","5.50","1.48","2.75","2.24","1.73","3.67","1.30","1.90","1.90"
"14954","04-05-25 12:30","Italy","Serie A","2024/2025","Empoli","Lazio","4.85","3.69","1.81","1.09","8.33","1.35","3.34","2.26","1.72","3.98","1.26","8.13","1.09","1.96","1.85"
"14955","03-05-25 20:45","Italy","Serie A","2024/2025","Inter","Verona","1.49","4.47","7.52","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","6.54","1.13","2.02","1.80"
"14956","03-05-25 18:00","Italy","Serie A","2024/2025","Lecce","Napoli","8.07","4.03","1.52","1.09","8.00","1.37","3.20","2.24","1.73","4.14","1.25","8.45","1.09","2.16","1.70"
"14957","03-05-25 15:00","Italy","Serie A","2024/2025","Cagliari","Udinese","2.65","3.06","3.06","1.11","7.00","1.48","2.75","2.37","1.62","4.48","1.22","9.26","1.07","1.98","1.83"
"14958","03-05-25 15:00","Italy","Serie A","2024/2025","Parma","Como","3.37","3.37","2.30","1.04","13.00","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","1.62","2.31"
"14959","02-05-25 20:45","Italy","Serie A","2024/2025","Torino","Venezia","2.54","3.08","3.21","1.09","8.00","1.41","3.00","2.35","1.67","4.14","1.25","8.45","1.09","1.83","1.98"
"14960","28-04-25 20:45","Italy","Serie A","2024/2025","Lazio","Parma","1.40","5.10","8.33","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.80","1.20","1.81","2.00"
"14961","28-04-25 20:45","Italy","Serie A","2024/2025","Verona","Cagliari","2.43","2.87","3.69","1.13","6.50","1.48","2.75","2.57","1.54","4.80","1.20","9.99","1.06","1.90","1.90"
"14962","28-04-25 18:30","Italy","Serie A","2024/2025","Udinese","Bologna","5.66","3.43","1.78","1.12","6.84","1.49","2.73","2.35","1.62","4.64","1.21","10.90","1.04","2.13","1.71"
"14963","27-04-25 20:45","Italy","Serie A","2024/2025","Atalanta","Lecce","1.30","5.87","11.20","1.03","15.00","1.22","4.50","1.65","2.30","2.57","1.54","4.48","1.22","2.06","1.76"
"14964","27-04-25 20:45","Italy","Serie A","2024/2025","Napoli","Torino","1.40","4.86","9.21","1.08","9.00","1.34","3.40","2.13","1.80","3.67","1.30","7.06","1.11","2.22","1.66"
"14965","27-04-25 18:00","Italy","Serie A","2024/2025","Juventus","Monza","1.25","6.79","12.50","1.04","13.00","1.22","4.50","1.61","2.38","2.47","1.57","4.48","1.22","2.16","1.70"
"14966","27-04-25 15:00","Italy","Serie A","2024/2025","Fiorentina","Empoli","2.10","3.33","3.94","1.11","7.00","1.48","2.75","2.47","1.57","4.80","1.20","9.99","1.06","1.96","1.85"
"14967","27-04-25 15:00","Italy","Serie A","2024/2025","Inter","AS Roma","1.75","3.78","5.10","1.04","13.00","1.23","4.33","1.82","2.10","2.86","1.45","5.41","1.17","1.65","2.24"
"14968","27-04-25 12:30","Italy","Serie A","2024/2025","Como","Genoa","1.78","3.78","4.85","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","7.06","1.11","1.83","1.98"
"14969","27-04-25 12:30","Italy","Serie A","2024/2025","Venezia","AC Milan","5.09","4.22","1.68","1.03","15.00","1.22","4.50","1.70","2.20","2.66","1.50","4.80","1.20","1.74","2.10"
"14970","23-04-25 18:30","Italy","Serie A","2024/2025","Cagliari","Fiorentina","3.21","3.08","2.54","1.09","8.00","1.41","3.00","2.37","1.62","4.48","1.22","9.26","1.07","1.90","1.90"
"14971","23-04-25 18:30","Italy","Serie A","2024/2025","Genoa","Lazio","3.82","3.31","2.14","1.09","8.00","1.48","2.75","2.37","1.62","4.48","1.22","9.26","1.07","1.96","1.85"
"14972","23-04-25 18:30","Italy","Serie A","2024/2025","Parma","Juventus","5.35","3.80","1.72","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","6.54","1.13","1.83","1.98"
"14973","23-04-25 18:30","Italy","Serie A","2024/2025","Torino","Udinese","2.56","3.08","3.18","1.11","7.00","1.51","2.63","2.57","1.54","4.80","1.20","11.20","1.05","2.02","1.80"
"14974","20-04-25 20:45","Italy","Serie A","2024/2025","AC Milan","Atalanta","2.51","3.68","2.77","1.02","16.20","1.20","4.76","1.67","2.26","2.60","1.53","4.71","1.21","1.49","2.64"
"14975","20-04-25 18:00","Italy","Serie A","2024/2025","Bologna","Inter","3.68","3.19","2.24","1.09","8.42","1.34","3.37","2.14","1.80","3.61","1.31","8.05","1.09","1.76","2.06"
"14976","20-04-25 15:00","Italy","Serie A","2024/2025","Empoli","Venezia","2.33","3.00","3.73","1.13","6.50","1.51","2.63","2.57","1.54","4.80","1.20","11.20","1.05","1.96","1.85"
"14977","19-04-25 20:45","Italy","Serie A","2024/2025","AS Roma","Verona","1.58","3.98","6.72","1.08","9.00","1.34","3.40","2.13","1.80","3.79","1.29","7.54","1.10","2.02","1.80"
"14978","19-04-25 18:00","Italy","Serie A","2024/2025","Monza","Napoli","10.60","5.09","1.35","1.05","11.60","1.25","4.21","1.82","2.10","2.91","1.43","5.71","1.15","2.06","1.76"
"14979","19-04-25 15:00","Italy","Serie A","2024/2025","Lecce","Como","3.73","3.49","2.10","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.68","2.18"
"14980","14-04-25 20:45","Italy","Serie A","2024/2025","Napoli","Empoli","1.47","4.43","8.07","1.06","10.00","1.32","3.50","2.13","1.80","3.67","1.30","7.06","1.11","2.06","1.76"
"14981","13-04-25 20:45","Italy","Serie A","2024/2025","Lazio","AS Roma","3.33","3.19","2.40","1.08","8.51","1.34","3.41","2.11","1.81","3.57","1.31","7.97","1.09","1.76","2.06"
"14982","13-04-25 18:00","Italy","Serie A","2024/2025","Como","Torino","1.91","3.65","4.63","1.02","8.95","1.29","3.20","2.14","1.80","3.54","1.24","7.18","1.03","1.86","1.90"
"14983","13-04-25 15:00","Italy","Serie A","2024/2025","Fiorentina","Parma","1.74","3.77","5.30","1.06","10.50","1.30","3.68","1.90","2.01","3.27","1.36","6.23","1.14","1.83","1.98"
"14984","13-04-25 15:00","Italy","Serie A","2024/2025","Verona","Genoa","3.02","3.00","2.74","1.13","6.32","1.59","2.42","2.91","1.43","5.71","1.15","11.90","1.05","2.16","1.70"
"14985","13-04-25 12:30","Italy","Serie A","2024/2025","Atalanta","Bologna","2.00","3.60","3.95","1.06","10.50","1.27","3.95","1.90","2.01","3.27","1.36","6.23","1.14","1.72","2.12"
"14986","12-04-25 20:45","Italy","Serie A","2024/2025","Juventus","Lecce","1.36","5.20","9.75","1.06","10.50","1.30","3.68","1.90","2.01","3.27","1.36","6.73","1.12","2.22","1.66"
"14987","12-04-25 18:00","Italy","Serie A","2024/2025","Inter","Cagliari","1.33","5.66","10.20","1.03","13.70","1.22","4.56","1.64","2.32","2.73","1.48","5.15","1.18","2.02","1.80"
"14988","12-04-25 15:00","Italy","Serie A","2024/2025","Venezia","Monza","1.78","3.70","5.09","1.07","9.47","1.31","3.58","2.03","1.88","3.50","1.33","7.18","1.11","1.90","1.90"
"14989","11-04-25 20:45","Italy","Serie A","2024/2025","Udinese","AC Milan","4.56","3.61","1.87","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.72","2.12"
"14990","07-04-25 20:45","Italy","Serie A","2024/2025","Bologna","Napoli","2.61","3.07","3.12","1.12","6.84","1.47","2.77","2.45","1.58","5.15","1.18","10.70","1.06","2.00","1.82"
