squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
UC Sampdoria,Cagliari Calcio,2021-03-07,55200000,112200000
Verona Hellas Football Club,Associazione Calcio Milan,2021-03-07,70500000,253000000
Società Sportiva Calcio Napoli,Bologna Football Club 1909,2021-03-07,295000000,41900000
Associazione Calcio Fiorentina,Parma Calcio 1913,2021-03-07,130800000,44600000
Associazione Sportiva Roma,Genoa Cricket and Football Club,2021-03-07,159000000,30300000
FC Crotone,Torino Calcio,2021-03-07,29100000,57500000
Udinese Calcio,Unione Sportiva Sassuolo Calcio,2021-03-06,87600000,129000000
Spezia Calcio,Benevento Calcio,2021-03-06,20500000,31700000
Juventus Football Club,Società Sportiva Lazio S.p.A.,2021-03-06,343000000,233500000
Parma Calcio 1913,Football Club Internazionale Milano S.p.A.,2021-03-04,51000000,443500000
Atalanta Bergamasca Calcio S.p.a.,FC Crotone,2021-03-03,175000000,22400000
Associazione Calcio Milan,Udinese Calcio,2021-03-03,317000000,89500000
Associazione Calcio Fiorentina,Associazione Sportiva Roma,2021-03-03,147000000,220500000
Cagliari Calcio,Bologna Football Club 1909,2021-03-03,128300000,83600000
Benevento Calcio,Verona Hellas Football Club,2021-03-03,26400000,70500000
Genoa Cricket and Football Club,UC Sampdoria,2021-03-03,37100000,49100000
Unione Sportiva Sassuolo Calcio,Società Sportiva Calcio Napoli,2021-03-03,137000000,274000000
Juventus Football Club,Spezia Calcio,2021-03-02,368500000,17850000
Udinese Calcio,Associazione Calcio Fiorentina,2021-02-28,85500000,139800000
FC Crotone,Cagliari Calcio,2021-02-28,26000000,112200000
UC Sampdoria,Atalanta Bergamasca Calcio S.p.a.,2021-02-28,57000000,195000000
Associazione Sportiva Roma,Associazione Calcio Milan,2021-02-28,190000000,317000000
Football Club Internazionale Milano S.p.A.,Genoa Cricket and Football Club,2021-02-28,460500000,40700000
Società Sportiva Calcio Napoli,Benevento Calcio,2021-02-28,325000000,28300000
Spezia Calcio,Parma Calcio 1913,2021-02-27,21050000,58000000
Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,2021-02-27,83200000,252800000
Verona Hellas Football Club,Juventus Football Club,2021-02-27,77500000,439000000
Juventus Football Club,FC Crotone,2021-02-22,395000000,27900000
Benevento Calcio,Associazione Sportiva Roma,2021-02-21,30500000,174500000
Parma Calcio 1913,Udinese Calcio,2021-02-21,60700000,89000000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Calcio Napoli,2021-02-21,225000000,294000000
Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2021-02-21,336000000,503500000
Unione Sportiva Sassuolo Calcio,Bologna Football Club 1909,2021-02-20,130000000,102600000
Società Sportiva Lazio S.p.A.,UC Sampdoria,2021-02-20,234500000,47500000
Genoa Cricket and Football Club,Verona Hellas Football Club,2021-02-20,36600000,76500000
Cagliari Calcio,Torino Calcio,2021-02-19,119700000,98000000
Associazione Calcio Fiorentina,Spezia Calcio,2021-02-19,143000000,21650000
Verona Hellas Football Club,Parma Calcio 1913,2021-02-15,67000000,56200000
FC Crotone,Unione Sportiva Sassuolo Calcio,2021-02-14,26900000,120400000
Football Club Internazionale Milano S.p.A.,Società Sportiva Lazio S.p.A.,2021-02-14,503500000,252800000
Cagliari Calcio,Atalanta Bergamasca Calcio S.p.a.,2021-02-14,127500000,187500000
Associazione Sportiva Roma,Udinese Calcio,2021-02-14,209000000,91000000
UC Sampdoria,Associazione Calcio Fiorentina,2021-02-14,67300000,150000000
Società Sportiva Calcio Napoli,Juventus Football Club,2021-02-13,314000000,403000000
Torino Calcio,Genoa Cricket and Football Club,2021-02-13,98000000,34500000
Spezia Calcio,Associazione Calcio Milan,2021-02-13,21050000,334000000
Bologna Football Club 1909,Benevento Calcio,2021-02-12,86400000,31800000
Benevento Calcio,UC Sampdoria,2021-02-07,31800000,60900000
Udinese Calcio,Verona Hellas Football Club,2021-02-07,66000000,75000000
Parma Calcio 1913,Bologna Football Club 1909,2021-02-07,46500000,82900000
Associazione Calcio Milan,FC Crotone,2021-02-07,309000000,24200000
Società Sportiva Lazio S.p.A.,Cagliari Calcio,2021-02-07,244800000,115000000
Unione Sportiva Sassuolo Calcio,Spezia Calcio,2021-02-06,133500000,18750000
Genoa Cricket and Football Club,Società Sportiva Calcio Napoli,2021-02-06,33200000,241000000
Juventus Football Club,Associazione Sportiva Roma,2021-02-06,360000000,199000000
Atalanta Bergamasca Calcio S.p.a.,Torino Calcio,2021-02-06,177000000,100200000
Associazione Calcio Fiorentina,Football Club Internazionale Milano S.p.A.,2021-02-05,94800000,416500000
Spezia Calcio,Udinese Calcio,2021-01-31,25350000,100000000
Associazione Sportiva Roma,Verona Hellas Football Club,2021-01-31,208000000,66500000
FC Crotone,Genoa Cricket and Football Club,2021-01-31,21050000,38100000
Società Sportiva Calcio Napoli,Parma Calcio 1913,2021-01-31,309000000,54000000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Lazio S.p.A.,2021-01-31,184000000,249300000
Cagliari Calcio,Unione Sportiva Sassuolo Calcio,2021-01-31,88900000,133500000
UC Sampdoria,Juventus Football Club,2021-01-30,52000000,364000000
Football Club Internazionale Milano S.p.A.,Benevento Calcio,2021-01-30,429000000,32000000
Bologna Football Club 1909,Associazione Calcio Milan,2021-01-30,101900000,336000000
Torino Calcio,Associazione Calcio Fiorentina,2021-01-29,83300000,144500000
Verona Hellas Football Club,Società Sportiva Calcio Napoli,2021-01-24,70500000,319000000
Società Sportiva Lazio S.p.A.,Unione Sportiva Sassuolo Calcio,2021-01-24,202800000,116000000
Juventus Football Club,Bologna Football Club 1909,2021-01-24,331000000,96400000
Genoa Cricket and Football Club,Cagliari Calcio,2021-01-24,38100000,121700000
Parma Calcio 1913,UC Sampdoria,2021-01-24,55200000,53300000
Associazione Sportiva Roma,Spezia Calcio,2021-01-23,199000000,19600000
Udinese Calcio,Football Club Internazionale Milano S.p.A.,2021-01-23,104500000,468500000
Associazione Calcio Fiorentina,FC Crotone,2021-01-23,138000000,21650000
Associazione Calcio Milan,Atalanta Bergamasca Calcio S.p.a.,2021-01-23,263000000,220000000
Benevento Calcio,Torino Calcio,2021-01-22,27700000,89500000
Udinese Calcio,Atalanta Bergamasca Calcio S.p.a.,2021-01-20,104500000,185000000
Cagliari Calcio,Associazione Calcio Milan,2021-01-18,101700000,250000000
Società Sportiva Calcio Napoli,Associazione Calcio Fiorentina,2021-01-17,313000000,138000000
Football Club Internazionale Milano S.p.A.,Juventus Football Club,2021-01-17,468500000,325500000
Atalanta Bergamasca Calcio S.p.a.,Genoa Cricket and Football Club,2021-01-17,221000000,41300000
Unione Sportiva Sassuolo Calcio,Parma Calcio 1913,2021-01-17,74000000,46200000
FC Crotone,Benevento Calcio,2021-01-17,18900000,23200000
Bologna Football Club 1909,Verona Hellas Football Club,2021-01-16,99900000,68000000
UC Sampdoria,Udinese Calcio,2021-01-16,49500000,107700000
Torino Calcio,Spezia Calcio,2021-01-16,94400000,23450000
Società Sportiva Lazio S.p.A.,Associazione Sportiva Roma,2021-01-15,237300000,206000000
Spezia Calcio,UC Sampdoria,2021-01-11,24450000,65000000
Parma Calcio 1913,Società Sportiva Lazio S.p.A.,2021-01-10,50600000,237300000
Associazione Calcio Fiorentina,Cagliari Calcio,2021-01-10,126500000,96500000
Juventus Football Club,Unione Sportiva Sassuolo Calcio,2021-01-10,396500000,111000000
Associazione Sportiva Roma,Football Club Internazionale Milano S.p.A.,2021-01-10,206000000,473500000
Udinese Calcio,Società Sportiva Calcio Napoli,2021-01-10,107300000,321000000
Verona Hellas Football Club,FC Crotone,2021-01-10,72000000,19300000
Associazione Calcio Milan,Torino Calcio,2021-01-09,311000000,96000000
Benevento Calcio,Atalanta Bergamasca Calcio S.p.a.,2021-01-09,21300000,212000000
Genoa Cricket and Football Club,Bologna Football Club 1909,2021-01-09,33700000,78400000
Torino Calcio,Verona Hellas Football Club,2021-01-06,95200000,66500000
Società Sportiva Lazio S.p.A.,Associazione Calcio Fiorentina,2021-01-06,259200000,121000000
Atalanta Bergamasca Calcio S.p.a.,Parma Calcio 1913,2021-01-06,199000000,59600000
UC Sampdoria,Football Club Internazionale Milano S.p.A.,2021-01-06,62200000,395500000
Bologna Football Club 1909,Udinese Calcio,2021-01-06,87200000,96700000
Unione Sportiva Sassuolo Calcio,Genoa Cricket and Football Club,2021-01-06,145500000,42800000
Società Sportiva Calcio Napoli,Spezia Calcio,2021-01-06,317000000,21650000
FC Crotone,Associazione Sportiva Roma,2021-01-06,20700000,147500000
Cagliari Calcio,Benevento Calcio,2021-01-06,104200000,22200000
Associazione Calcio Milan,Juventus Football Club,2021-01-06,312000000,418500000
Cagliari Calcio,Società Sportiva Calcio Napoli,2021-01-03,123200000,309000000
Associazione Calcio Fiorentina,Bologna Football Club 1909,2021-01-03,126500000,92000000
Spezia Calcio,Verona Hellas Football Club,2021-01-03,26650000,67500000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Sassuolo Calcio,2021-01-03,215000000,153500000
Football Club Internazionale Milano S.p.A.,FC Crotone,2021-01-03,468500000,18450000
Associazione Sportiva Roma,UC Sampdoria,2021-01-03,185500000,48900000
Juventus Football Club,Udinese Calcio,2021-01-03,437000000,96500000
Benevento Calcio,Associazione Calcio Milan,2021-01-03,29200000,317000000
Genoa Cricket and Football Club,Società Sportiva Lazio S.p.A.,2021-01-03,33500000,224300000
Parma Calcio 1913,Torino Calcio,2021-01-03,50000000,99500000
Udinese Calcio,Benevento Calcio,2020-12-23,87000000,27400000
Associazione Calcio Milan,Società Sportiva Lazio S.p.A.,2020-12-23,295000000,252500000
Bologna Football Club 1909,Atalanta Bergamasca Calcio S.p.a.,2020-12-23,59000000,202000000
Associazione Sportiva Roma,Cagliari Calcio,2020-12-23,141000000,113400000
Società Sportiva Calcio Napoli,Torino Calcio,2020-12-23,272000000,97100000
Spezia Calcio,Genoa Cricket and Football Club,2020-12-23,15500000,28000000
Verona Hellas Football Club,Football Club Internazionale Milano S.p.A.,2020-12-23,50800000,472000000
UC Sampdoria,Unione Sportiva Sassuolo Calcio,2020-12-23,51700000,130200000
Juventus Football Club,Associazione Calcio Fiorentina,2020-12-22,415000000,139200000
FC Crotone,Parma Calcio 1913,2020-12-22,17200000,55300000
Società Sportiva Lazio S.p.A.,Società Sportiva Calcio Napoli,2020-12-20,224500000,304000000
Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,2020-12-20,226000000,177000000
Cagliari Calcio,Udinese Calcio,2020-12-20,99700000,98000000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Milan,2020-12-20,97000000,305500000
Benevento Calcio,Genoa Cricket and Football Club,2020-12-20,27350000,43600000
Torino Calcio,Bologna Football Club 1909,2020-12-20,93200000,71700000
Football Club Internazionale Milano S.p.A.,Spezia Calcio,2020-12-20,471000000,7800000
Associazione Calcio Fiorentina,Verona Hellas Football Club,2020-12-19,139000000,54100000
UC Sampdoria,FC Crotone,2020-12-19,52500000,24300000
Parma Calcio 1913,Juventus Football Club,2020-12-19,49400000,378000000
Associazione Sportiva Roma,Torino Calcio,2020-12-17,183000000,77300000
Juventus Football Club,Atalanta Bergamasca Calcio S.p.a.,2020-12-16,433000000,220000000
Genoa Cricket and Football Club,Associazione Calcio Milan,2020-12-16,53600000,288500000
Spezia Calcio,Bologna Football Club 1909,2020-12-16,18500000,67200000
Associazione Calcio Fiorentina,Unione Sportiva Sassuolo Calcio,2020-12-16,142000000,121250000
Verona Hellas Football Club,UC Sampdoria,2020-12-16,54600000,52500000
Football Club Internazionale Milano S.p.A.,Società Sportiva Calcio Napoli,2020-12-16,427500000,312000000
Parma Calcio 1913,Cagliari Calcio,2020-12-16,47700000,93900000
Benevento Calcio,Società Sportiva Lazio S.p.A.,2020-12-15,27150000,249500000
Udinese Calcio,FC Crotone,2020-12-15,83300000,16650000
Bologna Football Club 1909,Associazione Sportiva Roma,2020-12-13,60000000,184000000
Atalanta Bergamasca Calcio S.p.a.,Associazione Calcio Fiorentina,2020-12-13,226000000,138700000
Associazione Calcio Milan,Parma Calcio 1913,2020-12-13,312500000,50400000
Cagliari Calcio,Football Club Internazionale Milano S.p.A.,2020-12-13,82500000,421500000
Genoa Cricket and Football Club,Juventus Football Club,2020-12-13,51500000,461000000
Società Sportiva Calcio Napoli,UC Sampdoria,2020-12-13,339000000,47000000
Torino Calcio,Udinese Calcio,2020-12-12,93500000,96300000
FC Crotone,Spezia Calcio,2020-12-12,23000000,18800000
Società Sportiva Lazio S.p.A.,Verona Hellas Football Club,2020-12-12,165600000,57300000
Unione Sportiva Sassuolo Calcio,Benevento Calcio,2020-12-11,103100000,26450000
Associazione Calcio Fiorentina,Genoa Cricket and Football Club,2020-12-07,155500000,44700000
Associazione Sportiva Roma,Unione Sportiva Sassuolo Calcio,2020-12-06,153000000,131650000
FC Crotone,Società Sportiva Calcio Napoli,2020-12-06,20900000,309000000
Verona Hellas Football Club,Cagliari Calcio,2020-12-06,49100000,82100000
Parma Calcio 1913,Benevento Calcio,2020-12-06,50700000,27350000
UC Sampdoria,Associazione Calcio Milan,2020-12-06,56200000,313500000
Juventus Football Club,Torino Calcio,2020-12-05,464000000,92500000
Spezia Calcio,Società Sportiva Lazio S.p.A.,2020-12-05,13200000,241300000
Football Club Internazionale Milano S.p.A.,Bologna Football Club 1909,2020-12-05,389000000,64500000
Genoa Cricket and Football Club,Parma Calcio 1913,2020-11-30,47800000,50600000
Torino Calcio,UC Sampdoria,2020-11-30,87500000,48000000
Cagliari Calcio,Spezia Calcio,2020-11-29,86300000,12300000
Associazione Calcio Milan,Associazione Calcio Fiorentina,2020-11-29,316000000,155500000
Società Sportiva Calcio Napoli,Associazione Sportiva Roma,2020-11-29,357000000,175000000
Bologna Football Club 1909,FC Crotone,2020-11-29,84500000,23500000
Società Sportiva Lazio S.p.A.,Udinese Calcio,2020-11-29,205800000,78700000
Atalanta Bergamasca Calcio S.p.a.,Verona Hellas Football Club,2020-11-28,194500000,47800000
Unione Sportiva Sassuolo Calcio,Football Club Internazionale Milano S.p.A.,2020-11-28,128300000,340500000
Benevento Calcio,Juventus Football Club,2020-11-28,27850000,415500000
Udinese Calcio,Genoa Cricket and Football Club,2020-11-22,80800000,49300000
Football Club Internazionale Milano S.p.A.,Torino Calcio,2020-11-22,289000000,72000000
UC Sampdoria,Bologna Football Club 1909,2020-11-22,50300000,84500000
Associazione Calcio Fiorentina,Benevento Calcio,2020-11-22,169000000,18350000
Verona Hellas Football Club,Unione Sportiva Sassuolo Calcio,2020-11-22,46500000,128300000
Società Sportiva Calcio Napoli,Associazione Calcio Milan,2020-11-22,355000000,306500000
Associazione Sportiva Roma,Parma Calcio 1913,2020-11-22,146000000,59800000
Spezia Calcio,Atalanta Bergamasca Calcio S.p.a.,2020-11-21,15000000,193500000
Juventus Football Club,Cagliari Calcio,2020-11-21,386000000,92700000
FC Crotone,Società Sportiva Lazio S.p.A.,2020-11-21,21300000,184400000
Atalanta Bergamasca Calcio S.p.a.,Football Club Internazionale Milano S.p.A.,2020-11-08,189500000,354500000
Associazione Calcio Milan,Verona Hellas Football Club,2020-11-08,271000000,49500000
Genoa Cricket and Football Club,Associazione Sportiva Roma,2020-11-08,38500000,187500000
Società Sportiva Lazio S.p.A.,Juventus Football Club,2020-11-08,217500000,335500000
Torino Calcio,FC Crotone,2020-11-08,98000000,22900000
Bologna Football Club 1909,Società Sportiva Calcio Napoli,2020-11-08,96000000,362000000
Cagliari Calcio,UC Sampdoria,2020-11-07,118900000,51200000
Parma Calcio 1913,Associazione Calcio Fiorentina,2020-11-07,51800000,141500000
Benevento Calcio,Spezia Calcio,2020-11-07,23200000,16200000
Unione Sportiva Sassuolo Calcio,Udinese Calcio,2020-11-06,141500000,80800000
Genoa Cricket and Football Club,Torino Calcio,2020-11-04,48800000,94000000
Verona Hellas Football Club,Benevento Calcio,2020-11-02,50200000,29300000
Udinese Calcio,Associazione Calcio Milan,2020-11-01,92600000,302500000
Spezia Calcio,Juventus Football Club,2020-11-01,16450000,376000000
UC Sampdoria,Genoa Cricket and Football Club,2020-11-01,52700000,33200000
Torino Calcio,Società Sportiva Lazio S.p.A.,2020-11-01,98000000,183400000
Associazione Sportiva Roma,Associazione Calcio Fiorentina,2020-11-01,177000000,138500000
Società Sportiva Calcio Napoli,Unione Sportiva Sassuolo Calcio,2020-11-01,336000000,121300000
Bologna Football Club 1909,Cagliari Calcio,2020-10-31,84500000,115900000
Football Club Internazionale Milano S.p.A.,Parma Calcio 1913,2020-10-31,326500000,49900000
FC Crotone,Atalanta Bergamasca Calcio S.p.a.,2020-10-31,23800000,173500000
Associazione Calcio Milan,Associazione Sportiva Roma,2020-10-26,212700000,167150000
Cagliari Calcio,FC Crotone,2020-10-25,109500000,21450000
Parma Calcio 1913,Spezia Calcio,2020-10-25,52100000,19200000
Juventus Football Club,Verona Hellas Football Club,2020-10-25,357000000,46750000
Benevento Calcio,Società Sportiva Calcio Napoli,2020-10-25,28325000,367500000
Associazione Calcio Fiorentina,Udinese Calcio,2020-10-25,149500000,63350000
Atalanta Bergamasca Calcio S.p.a.,UC Sampdoria,2020-10-24,124100000,52700000
Genoa Cricket and Football Club,Football Club Internazionale Milano S.p.A.,2020-10-24,29500000,358500000
Società Sportiva Lazio S.p.A.,Bologna Football Club 1909,2020-10-24,173400000,70600000
Unione Sportiva Sassuolo Calcio,Torino Calcio,2020-10-23,101800000,97000000
Verona Hellas Football Club,Genoa Cricket and Football Club,2020-10-19,37450000,31500000
Torino Calcio,Cagliari Calcio,2020-10-18,94000000,109500000
Udinese Calcio,Parma Calcio 1913,2020-10-18,62950000,42900000
Spezia Calcio,Associazione Calcio Fiorentina,2020-10-18,10400000,145000000
Bologna Football Club 1909,Unione Sportiva Sassuolo Calcio,2020-10-18,82600000,107000000
Associazione Sportiva Roma,Benevento Calcio,2020-10-18,161150000,32525000
FC Crotone,Juventus Football Club,2020-10-17,20400000,291675000
UC Sampdoria,Società Sportiva Lazio S.p.A.,2020-10-17,51200000,211600000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Milan,2020-10-17,414000000,271500000
Società Sportiva Calcio Napoli,Atalanta Bergamasca Calcio S.p.a.,2020-10-17,320500000,194000000
Società Sportiva Lazio S.p.A.,Football Club Internazionale Milano S.p.A.,2020-10-04,270500000,458000000
Parma Calcio 1913,Verona Hellas Football Club,2020-10-04,40600000,49150000
Associazione Calcio Milan,Spezia Calcio,2020-10-04,210500000,16800000
Benevento Calcio,Bologna Football Club 1909,2020-10-04,27975000,68500000
Atalanta Bergamasca Calcio S.p.a.,Cagliari Calcio,2020-10-04,211000000,109500000
Unione Sportiva Sassuolo Calcio,FC Crotone,2020-10-03,103000000,17800000
Udinese Calcio,Associazione Sportiva Roma,2020-10-03,84100000,170150000
Associazione Calcio Fiorentina,UC Sampdoria,2020-10-02,185000000,48200000
Società Sportiva Lazio S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2020-09-30,245500000,212000000
Udinese Calcio,Spezia Calcio,2020-09-30,74700000,15900000
Benevento Calcio,Football Club Internazionale Milano S.p.A.,2020-09-30,24400000,322000000
Bologna Football Club 1909,Parma Calcio 1913,2020-09-28,64500000,41100000
Spezia Calcio,Unione Sportiva Sassuolo Calcio,2020-09-27,20700000,98500000
Verona Hellas Football Club,Udinese Calcio,2020-09-27,46950000,75700000
Associazione Sportiva Roma,Juventus Football Club,2020-09-27,170150000,292000000
FC Crotone,Associazione Calcio Milan,2020-09-27,16800000,262000000
Società Sportiva Calcio Napoli,Genoa Cricket and Football Club,2020-09-27,377000000,45600000
Cagliari Calcio,Società Sportiva Lazio S.p.A.,2020-09-26,106800000,270500000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Fiorentina,2020-09-26,397000000,172000000
Torino Calcio,Atalanta Bergamasca Calcio S.p.a.,2020-09-26,98500000,200500000
UC Sampdoria,Benevento Calcio,2020-09-26,52100000,24925000
Associazione Calcio Milan,Bologna Football Club 1909,2020-09-21,253000000,95500000
Parma Calcio 1913,Società Sportiva Calcio Napoli,2020-09-20,59900000,331000000
Genoa Cricket and Football Club,FC Crotone,2020-09-20,38500000,14850000
Juventus Football Club,UC Sampdoria,2020-09-20,256075000,51600000
Unione Sportiva Sassuolo Calcio,Cagliari Calcio,2020-09-20,95600000,103650000
Associazione Calcio Fiorentina,Torino Calcio,2020-09-19,167000000,108500000
Verona Hellas Football Club,Associazione Sportiva Roma,2020-09-19,31750000,172150000
SPAL,Associazione Calcio Fiorentina,2020-08-02,21875000,135000000
Unione Sportiva Sassuolo Calcio,Udinese Calcio,2020-08-02,79300000,61425000
Bologna Football Club 1909,Torino Calcio,2020-08-02,42550000,92400000
Unione Sportiva Lecce,Parma Calcio 1913,2020-08-02,24875000,68700000
Genoa Cricket and Football Club,Verona Hellas Football Club,2020-08-02,41200000,47975000
Brescia Calcio,UC Sampdoria,2020-08-01,44000000,38350000
Juventus Football Club,Associazione Sportiva Roma,2020-08-01,170350000,114400000
Atalanta Bergamasca Calcio S.p.a.,Football Club Internazionale Milano S.p.A.,2020-08-01,188000000,334000000
Associazione Calcio Milan,Cagliari Calcio,2020-08-01,184700000,76400000
Società Sportiva Calcio Napoli,Società Sportiva Lazio S.p.A.,2020-08-01,292300000,254600000
Verona Hellas Football Club,SPAL,2020-07-29,42475000,30725000
Cagliari Calcio,Juventus Football Club,2020-07-29,70400000,293500000
Associazione Calcio Fiorentina,Bologna Football Club 1909,2020-07-29,152200000,75375000
Società Sportiva Lazio S.p.A.,Brescia Calcio,2020-07-29,255900000,44250000
Unione Sportiva Sassuolo Calcio,Genoa Cricket and Football Club,2020-07-29,85400000,50925000
Torino Calcio,Associazione Sportiva Roma,2020-07-29,60350000,159000000
Udinese Calcio,Unione Sportiva Lecce,2020-07-29,69900000,25450000
UC Sampdoria,Associazione Calcio Milan,2020-07-29,55850000,184000000
Football Club Internazionale Milano S.p.A.,Società Sportiva Calcio Napoli,2020-07-28,279000000,286000000
Parma Calcio 1913,Atalanta Bergamasca Calcio S.p.a.,2020-07-28,66700000,175200000
Cagliari Calcio,Udinese Calcio,2020-07-26,73075000,61825000
SPAL,Torino Calcio,2020-07-26,36275000,110300000
Associazione Sportiva Roma,Associazione Calcio Fiorentina,2020-07-26,182000000,149300000
Juventus Football Club,UC Sampdoria,2020-07-26,410000000,57400000
Bologna Football Club 1909,Unione Sportiva Lecce,2020-07-26,49250000,24650000
Verona Hellas Football Club,Società Sportiva Lazio S.p.A.,2020-07-26,52075000,240400000
Società Sportiva Calcio Napoli,Unione Sportiva Sassuolo Calcio,2020-07-25,305300000,84250000
Brescia Calcio,Parma Calcio 1913,2020-07-25,42600000,65800000
Genoa Cricket and Football Club,Football Club Internazionale Milano S.p.A.,2020-07-25,49575000,339500000
Associazione Calcio Milan,Atalanta Bergamasca Calcio S.p.a.,2020-07-24,142800000,179000000
Udinese Calcio,Juventus Football Club,2020-07-23,65100000,421000000
Società Sportiva Lazio S.p.A.,Cagliari Calcio,2020-07-23,230200000,89600000
Torino Calcio,Verona Hellas Football Club,2020-07-22,98800000,46800000
UC Sampdoria,Genoa Cricket and Football Club,2020-07-22,65600000,55825000
Parma Calcio 1913,Società Sportiva Calcio Napoli,2020-07-22,41550000,317500000
Unione Sportiva Lecce,Brescia Calcio,2020-07-22,24800000,50500000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Fiorentina,2020-07-22,280000000,105800000
SPAL,Associazione Sportiva Roma,2020-07-22,19300000,166800000
Atalanta Bergamasca Calcio S.p.a.,Bologna Football Club 1909,2020-07-21,185000000,58550000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Milan,2020-07-21,65525000,219800000
Juventus Football Club,Società Sportiva Lazio S.p.A.,2020-07-20,423500000,179600000
Brescia Calcio,SPAL,2020-07-19,51300000,31425000
Associazione Sportiva Roma,Football Club Internazionale Milano S.p.A.,2020-07-19,167800000,317000000
Parma Calcio 1913,UC Sampdoria,2020-07-19,63300000,57700000
Associazione Calcio Fiorentina,Torino Calcio,2020-07-19,155800000,92300000
Genoa Cricket and Football Club,Unione Sportiva Lecce,2020-07-19,54025000,26800000
Società Sportiva Calcio Napoli,Udinese Calcio,2020-07-19,289300000,66925000
Verona Hellas Football Club,Atalanta Bergamasca Calcio S.p.a.,2020-07-18,59600000,173000000
Cagliari Calcio,Unione Sportiva Sassuolo Calcio,2020-07-18,80100000,79550000
Associazione Calcio Milan,Bologna Football Club 1909,2020-07-18,217300000,82750000
SPAL,Football Club Internazionale Milano S.p.A.,2020-07-16,37800000,309700000
Torino Calcio,Genoa Cricket and Football Club,2020-07-16,98800000,47775000
Unione Sportiva Lecce,Associazione Calcio Fiorentina,2020-07-15,26150000,147300000
Associazione Sportiva Roma,Verona Hellas Football Club,2020-07-15,167800000,67800000
Udinese Calcio,Società Sportiva Lazio S.p.A.,2020-07-15,66125000,227700000
Bologna Football Club 1909,Società Sportiva Calcio Napoli,2020-07-15,66650000,246000000
Associazione Calcio Milan,Parma Calcio 1913,2020-07-15,204300000,70900000
UC Sampdoria,Cagliari Calcio,2020-07-15,63100000,73825000
Unione Sportiva Sassuolo Calcio,Juventus Football Club,2020-07-15,73550000,375500000
Atalanta Bergamasca Calcio S.p.a.,Brescia Calcio,2020-07-14,151000000,14150000
Football Club Internazionale Milano S.p.A.,Torino Calcio,2020-07-13,247200000,109300000
Parma Calcio 1913,Bologna Football Club 1909,2020-07-12,28900000,87350000
Cagliari Calcio,Unione Sportiva Lecce,2020-07-12,101600000,26650000
Associazione Calcio Fiorentina,Verona Hellas Football Club,2020-07-12,129300000,73600000
Genoa Cricket and Football Club,SPAL,2020-07-12,40800000,32225000
Udinese Calcio,UC Sampdoria,2020-07-12,62700000,57100000
Società Sportiva Calcio Napoli,Associazione Calcio Milan,2020-07-12,273800000,236000000
Società Sportiva Lazio S.p.A.,Unione Sportiva Sassuolo Calcio,2020-07-11,212100000,73625000
Brescia Calcio,Associazione Sportiva Roma,2020-07-11,44900000,122950000
Juventus Football Club,Atalanta Bergamasca Calcio S.p.a.,2020-07-11,386000000,178500000
Verona Hellas Football Club,Football Club Internazionale Milano S.p.A.,2020-07-09,75200000,262700000
SPAL,Udinese Calcio,2020-07-09,34225000,67325000
Associazione Calcio Fiorentina,Cagliari Calcio,2020-07-08,133200000,99300000
Atalanta Bergamasca Calcio S.p.a.,UC Sampdoria,2020-07-08,182500000,72400000
Associazione Sportiva Roma,Parma Calcio 1913,2020-07-08,181300000,68300000
Torino Calcio,Brescia Calcio,2020-07-08,98800000,50800000
Bologna Football Club 1909,Unione Sportiva Sassuolo Calcio,2020-07-08,72200000,70550000
Genoa Cricket and Football Club,Società Sportiva Calcio Napoli,2020-07-08,43675000,268500000
Unione Sportiva Lecce,Società Sportiva Lazio S.p.A.,2020-07-07,26650000,160200000
Associazione Calcio Milan,Juventus Football Club,2020-07-07,227800000,325500000
Udinese Calcio,Genoa Cricket and Football Club,2020-07-05,67400000,55375000
Football Club Internazionale Milano S.p.A.,Bologna Football Club 1909,2020-07-05,363500000,90550000
Brescia Calcio,Verona Hellas Football Club,2020-07-05,50800000,57050000
UC Sampdoria,SPAL,2020-07-05,70900000,22475000
Cagliari Calcio,Atalanta Bergamasca Calcio S.p.a.,2020-07-05,100300000,118000000
Società Sportiva Calcio Napoli,Associazione Sportiva Roma,2020-07-05,327000000,191300000
Parma Calcio 1913,Associazione Calcio Fiorentina,2020-07-05,70400000,109700000
Unione Sportiva Sassuolo Calcio,Unione Sportiva Lecce,2020-07-04,96500000,25100000
Juventus Football Club,Torino Calcio,2020-07-04,396500000,103300000
Società Sportiva Lazio S.p.A.,Associazione Calcio Milan,2020-07-04,209900000,205300000
