squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Società Sportiva Calcio Napoli,Associazione Sportiva Roma,2026-02-15,213000000,198000000
Parma Calcio 1913,Verona Hellas Football Club,2026-02-15,77700000,49800000
Udinese Calcio,Unione Sportiva Sassuolo Calcio,2026-02-15,97500000,106000000
Società Sportiva Lazio S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2026-02-14,120000000,181000000
Calcio Como,Associazione Calcio Fiorentina,2026-02-14,186500000,136000000
Football Club Internazionale Milano S.p.A.,Juventus Football Club,2026-02-14,457500000,332000000
Pisa Sporting Club,Associazione Calcio Milan,2026-02-13,44400000,213000000
Associazione Sportiva Roma,Cagliari Calcio,2026-02-09,223000000,88900000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Cremonese S.p.A.,2026-02-09,183500000,27100000
Juventus Football Club,Società Sportiva Lazio S.p.A.,2026-02-08,345000000,110500000
Bologna Football Club 1909,Parma Calcio 1913,2026-02-08,116000000,81200000
Unione Sportiva Sassuolo Calcio,Football Club Internazionale Milano S.p.A.,2026-02-08,103300000,401000000
Unione Sportiva Lecce,Udinese Calcio,2026-02-08,46600000,86500000
Associazione Calcio Fiorentina,Torino Calcio,2026-02-07,155000000,61000000
Genoa Cricket and Football Club,Società Sportiva Calcio Napoli,2026-02-07,90500000,217500000
Verona Hellas Football Club,Pisa Sporting Club,2026-02-06,45000000,46800000
Bologna Football Club 1909,Associazione Calcio Milan,2026-02-03,158500000,213000000
Udinese Calcio,Associazione Sportiva Roma,2026-02-02,87000000,230000000
Parma Calcio 1913,Juventus Football Club,2026-02-01,81700000,358000000
Unione Sportiva Cremonese S.p.A.,Football Club Internazionale Milano S.p.A.,2026-02-01,23500000,400500000
Calcio Como,Atalanta Bergamasca Calcio S.p.a.,2026-02-01,174000000,206000000
Torino Calcio,Unione Sportiva Lecce,2026-02-01,65000000,46900000
Cagliari Calcio,Verona Hellas Football Club,2026-01-31,83900000,37600000
Pisa Sporting Club,Unione Sportiva Sassuolo Calcio,2026-01-31,42300000,103300000
Società Sportiva Calcio Napoli,Associazione Calcio Fiorentina,2026-01-31,215500000,129500000
Società Sportiva Lazio S.p.A.,Genoa Cricket and Football Club,2026-01-30,99000000,90500000
Verona Hellas Football Club,Udinese Calcio,2026-01-26,36800000,90000000
Juventus Football Club,Società Sportiva Calcio Napoli,2026-01-25,358000000,215500000
Associazione Sportiva Roma,Associazione Calcio Milan,2026-01-25,257000000,279000000
Unione Sportiva Sassuolo Calcio,Unione Sportiva Cremonese S.p.A.,2026-01-25,81800000,31000000
