Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,Home_Elo,Away_Elo,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-20,Carpi,Fiorentina,0,1,A,2015-2016,0,1,0.7552312466586619,-0.727079218900042,0.38631251546132706,0.9015376390617673,0.49523809523809526,0.273015873015873,0.0,1479.0812202699494,1507.3765743080112,0.25,1.5
2015-09-22,Udinese,Milan,2,3,A,2015-2016,0,1,-0.5138318340335141,-0.18263469971841084,0.24142061772076953,0.4457133319513631,0.25,0.21875,0.0,1475.576734782776,1497.5046542049226,0.6,1.2
2015-09-23,Lazio,Genoa,2,0,H,2015-2016,0,0,-0.004831231431353456,0.44135747595506025,-0.5217729533466285,-0.18072059667056534,0.11805555555555555,0.08333333333333333,1.0,1490.2493534168136,1476.5918744742837,1.2,0.6
2015-09-23,Sampdoria,Roma,2,1,H,2015-2016,0,0,1.2746274596725649,0.4374034984746561,0.7569580058324883,0.44018130212090134,0.4285714285714286,0.34077380952380953,1.0,1513.5741974471907,1524.3581298906558,1.4,1.6
2015-09-23,Juventus,Frosinone,1,1,D,2015-2016,1,0,-0.004857991327958866,-0.19702462612809088,-0.7859912831558706,-0.8260726372213426,0.2857142857142857,0.08333333333333333,0.0,1498.9131679865593,1451.884378315986,0.8,0.0
2015-09-23,Palermo,Sassuolo,0,1,A,2015-2016,0,0,0.4989129634216959,0.44301281402383386,0.7348670094078231,0.43467772385767633,0.5416666666666667,0.3888888888888889,0.5,1508.2820188514652,1519.479810848109,1.4,1.6
2015-09-23,Fiorentina,Bologna,2,0,H,2015-2016,2,1,0.24094408738049466,1.0964729455430466,-0.5098975577591737,-0.1814941210192284,0.32976190476190476,0.1875,1.0,1519.411588659757,1477.7981053478063,1.8,0.6
2015-09-23,Inter,Verona,1,0,H,2015-2016,4,0,0.2560798601289772,1.7432747692548283,-0.06907121558751556,-0.8880699103970252,0.28154761904761905,0.2857142857142857,1.0,1539.0574482452255,1487.8177038223143,2.4,0.6
2015-09-23,Chievo,Torino,1,0,H,2015-2016,0,1,1.017884793722472,0.4628533918426383,1.252572375224508,1.0868270193932599,0.5333333333333333,0.35892857142857143,0.5,1520.4926634089882,1536.0646628100255,1.4,2.0
2015-09-23,Carpi,Napoli,0,0,D,2015-2016,0,1,0.2545535815402093,-0.8129561911893769,1.5692832334022242,-0.2016532175832829,0.37142857142857144,0.40476190476190477,0.0,1467.0462059182037,1507.9483362887638,0.2,1.0
