first_name,last_name,market_value
Luka,Modrić,3500000
Lameck,Banda,3500000
Davide,Zappacosta,3500000
Leonardo,Spinazzola,3500000
Niclas,Füllkrug,3500000
Danilo,Cataldi,3500000
Antonino,Gallo,3500000
Francesco,Coppola,3500000
Sandi,Lovrić,3500000
Nils,Zätterström,3500000
Marten,de Roon,3200000
Ignace,Van der Brempt,3000000
Ivan,Provedel,3000000
Tobias,Slotsager,3000000
Hassane,Kamara,3000000
Luis,Balbo,3000000
Nicolás,Valentini,3000000
Andrias,Edmundsson,3000000
,Zé Pedro,3000000
Henrikh,Mkhitaryan,3000000
Emanuele,Valeri,3000000
Alieu,Njie,3000000
Stefan,de Vrij,3000000
Gabriele,Piccinini,3000000
Toma,Bašić,3000000
Stefano,Turati,3000000
Riccardo,Sottil,3000000
Jari,Vandeputte,3000000
Oumar,Ngom,3000000
Omri,Gandelman,3000000
Remo,Freuler,3000000
,Gaspar,3000000
Gennaro,Borrelli,3000000
Gabriele,Zappa,3000000
Fali,Candé,3000000
Ulisses,Garcia,3000000
Morten,Thorsby,2800000
Emil,Audero,2800000
Marius,Marin,2800000
Enzo,Ebosse,2800000
Suat,Serdar,2800000
Niels,Nkounkou,2600000
Vakoun,Bayo,2500000
Filip,Stojilkovic,2500000
Yerry,Mina,2500000
Danilo,Veiga,2500000
Eddy,Kouadio,2500000
Sebastian,Otoa,2500000
Franco,Israel,2500000
Răzvan,Sava,2500000
Ruslan,Malinovskyi,2500000
Duván,Zapata,2500000
Adam,Marusic,2500000
Mattia,Felici,2500000
Jonathan,Klinsmann,2500000
Martin,Frese,2500000
Mitchel,Bakker,2500000
Romano,Floriani Mussolini,2500000
Mërgim,Vojvoda,2500000
Valentino,Lazaro,2500000
Federico,Bonazzoli,2500000
Michele,Collocolo,2400000
Amin,Sarr,2400000
Stephan,El Shaarawy,2400000
Agustín,Albarracín,2300000
Lassana,Coulibaly,2200000
Daniele,Rugani,2000000
Edoardo,Pieragnolo,2000000
Edoardo,Goldaniga,2000000
Woyo,Coulibaly,2000000
Mattia,Perin,2000000
Yann,Sommer,2000000
Guillermo,Maripán,2000000
Noel,Törnqvist,2000000
Lautaro,Valenti,2000000
Manuel,Lazzari,2000000
Maxwel,Cornet,2000000
Alessio,Zerbin,2000000
Agustín,Álvarez,2000000
Francesco,Acerbi,2000000
Filip,Kostić,2000000
Yael,Trepy,2000000
Cheikh,Niasse,2000000
Lukasz,Skorupski,2000000
Giuseppe,Pezzella,2000000
Kingsley,Ehizibue,2000000
Walid,Cheddira,2000000
Pontus,Almqvist,1800000
Mehdi,Léris,1800000
Daniel,Mosquera,1800000
Adrian,Semper,1800000
Alessandro,Nunziante,1800000
Ylber,Ramadani,1800000
Luca,Moro,1800000
Antonio,Sanabria,1800000
Federico,Ravaglia,1800000
Thórir Jóhann,Helgason,1800000
Marko,Farji,1700000
Abdou,Harroui,1600000
Nemanja,Matić,1600000
Edoardo,Corvi,1500000
Konan,N’Dri,1500000
,Juan Jesus,1500000
Alessandro,Deiola,1500000
Abdoulaye,Camara,1500000
Pasquale,Mazzocchi,1500000
Henrique,Menke,1500000
,Pedro Felipe,1500000
John,Yeboah,1500000
Youssef,Maleh,1500000
Domagoj,Bradarić,1500000
,Patric,1500000
Oier,Zarraga,1500000
Eman,Košpo,1500000
Pol,Lirola,1500000
Andrea,Belotti,1500000
Sergiu,Perciun,1500000
Gaby,Jean,1500000
Arkadiusz,Milik,1500000
Filip,Marchwinski,1500000
David,Okereke,1400000
Matteo,Darmian,1400000
Sergi,Roberto,1400000
Oliver,Christensen,1400000
Alberto,Grassi,1400000
Nahuel,Estévez,1400000
Seid,Korac,1300000
Stefano,Sabelli,1300000
Roberto,Gagliardini,1300000
Adrien,Tamèze,1200000
Lorenzo,Montipò,1200000
Charalampos,Lykogiannis,1200000
Luca,Mazzitelli,1200000
Alberto,Paleari,1200000
Dennis,Hadzikadunic,1200000
Stefano,Moreo,1200000
Malthe,Højholt,1200000
Elseid,Hysaj,1200000
Caleb,Ekuban,1200000
Samuel,Gigot,1200000
Junior,Messias,1100000
Othniël,Raterink,1000000
Milan,Djuric,1000000
Jean,Onana,1000000
Jamie,Vardy,1000000
,Pedro,1000000
Alberto,Moreno,1000000
Fallou,Cham,1000000
Álex,Sala,1000000
Nicola,Leali,1000000
Daniel,Oyegoke,1000000
Mateusz,Wieteska,1000000
Christian,Früchtl,1000000
Petko,Hristov,900000
Simone,Scuffet,900000
Franco,Carboni,900000
Corrie,Ndaba,900000
Pietro,Terracciano,900000
Cristiano,Biraghi,900000
Abdelhamid,Sabiri,850000
Alen,Sherri,800000
Lorenzo,Torriani,800000
Edoardo,Iannoni,800000
Pierluigi,Gollini,800000
Sadik,Fofana,800000
Saba,Sazonov,800000
Marco,Sportiello,800000
Filippo,Romagna,800000
Valentin,Antov,800000
Matteo,Bianchetti,800000
Juan,Cuadrado,800000
Arturo,Calabresi,800000
Francesco,Folino,800000
Antonio,Caracciolo,800000
Christian,Kabasele,750000
Nikola,Cavlina,750000
Raúl,Albiol,700000
Bjarki,Bjarkason,700000
,Isaac,700000
Filippo,Rinaldi,600000
Leonardo,Pavoletti,600000
Gioele,Zacchi,600000
Lorenzo,De Silvestri,600000
Ernestas,Lysionok,600000
Daniel,Denoon,500000
Marco,Silvestri,500000
Lapo,Siviero,500000
Matías,Pérez,500000
Jean-Daniel,Akpa Akpro,500000
Jesse,Joronen,500000
Simone,Perilli,400000
Nikita,Contini,400000
Giacomo,Satalino,400000
Federico,Ceccherini,400000
Benjamin,Siegrist,400000
