Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Day,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,HomeElo,AwayElo,Home_Current_Points,Away_Current_Points,HomeValue,AwayValue,PointToMatchRatioHome,PointToMatchRatioAway
2015-09-20,Atalanta,Verona,1.0,1.0,D,2015-2016,4,0,0,0.4202847846717932,0.0753838796670919,-0.0083767046515125,-0.8064082766930276,0.2272727272727273,0.2698412698412698,1.0,1506.6035482235045,1484.439624324419,4,2,28550000.0,16300000.0,1.0,0.5
2015-09-20,Bologna,Frosinone,1.0,0.0,H,2015-2016,4,0,0,-0.5620452518600635,-0.73560774100994,-0.5959708730824959,-0.7474108656713632,0.0833333333333333,0.1111111111111111,0.0,1470.9185319828416,1458.7639516809506,0,0,33900000.0,15900000.0,0.0,0.0
2015-09-20,Carpi,Fiorentina,0.0,1.0,A,2015-2016,4,0,1,0.7552312466586619,-0.727079218900042,0.386312515461327,0.9015376390617672,0.4952380952380952,0.273015873015873,0.0,1479.0812202699494,1507.3765743080112,1,6,15800000.0,69200000.0,0.25,1.5
2015-09-20,Chievo,Inter,0.0,1.0,A,2015-2016,4,0,3,1.7335107176666076,0.9137820888291084,0.3998615877527818,1.735873991928223,0.7111111111111111,0.2642857142857143,1.0,1533.489818724383,1526.060292929831,7,9,18800000.0,139500000.0,1.75,2.25
2015-09-20,Genoa,Juventus,0.0,2.0,A,2015-2016,4,0,0,-0.2623303343135811,0.0821271455439102,-0.2675202618059768,-0.7592510392580135,0.1111111111111111,0.2142857142857142,1.0,1496.4779126219523,1479.0271298388907,3,1,34000000.0,175500000.0,0.75,0.25
2015-09-20,Napoli,Lazio,5.0,0.0,H,2015-2016,4,0,1,0.7360010578809788,-0.7642573601500247,0.4029417734222268,0.8856301891714442,0.373015873015873,0.1574074074074074,0.0,1492.885329694167,1505.3123600114104,2,6,163500000.0,69750000.0,0.5,1.5
2015-09-20,Roma,Sassuolo,2.0,2.0,D,2015-2016,4,2,0,0.7284827240378579,0.8877545314489291,0.6798740050127088,0.8673518782161052,0.3591269841269841,0.3518518518518518,1.0,1527.450153285254,1516.387787453511,7,7,129500000.0,32600000.0,1.75,1.75
2015-09-20,Torino,Sampdoria,2.0,0.0,H,2015-2016,4,0,1,1.3385538155008407,0.8576664069290746,2.074537285420234,0.8773745606526142,0.3952380952380952,0.5714285714285715,1.0,1525.3052387475889,1524.3336215096274,7,7,37500000.0,62975000.0,1.75,1.75
2015-09-22,Udinese,Milan,2.0,3.0,A,2015-2016,5,0,1,-0.5138318340335141,-0.1826346997184108,0.2414206177207695,0.4457133319513631,0.25,0.21875,0.0,1475.576734782776,1497.5046542049226,3,6,32050000.0,100150000.0,0.6,1.2
2015-09-23,Carpi,Napoli,0.0,0.0,D,2015-2016,5,0,1,0.2545535815402093,-0.8129561911893769,1.5692832334022242,-0.2016532175832829,0.3714285714285714,0.4047619047619047,0.0,1467.0462059182037,1507.9483362887638,1,5,18000000.0,156500000.0,0.2,1.0
